img1_cluster_id,img2_cluster_id,similarity,pval
8-1,8-1,0.6516151056381403,0.79546875
8-1,8-2,0.7814990721928246,0.55578125
8-1,8-3,0.8432573890585484,0.3684375
8-1,8-4,0.698488608206236,0.73328125
8-1,8-5,0.5221341129243051,0.91046875
8-1,8-6,0.671320731358156,0.7715625
8-1,8-7,0.860419427664088,0.30859375
8-1,8-8,0.8970080745040807,0.1625
8-2,8-1,0.5731778983147595,0.86859375
8-2,8-2,0.9673852673971061,0.00390625
8-2,8-3,0.8525566092704753,0.336875
8-2,8-4,0.1550016130247585,1
8-2,8-5,0.0849210361108815,1
8-2,8-6,0.42869420640477174,0.96125
8-2,8-7,0.6855020545258468,0.75296875
8-2,8-8,0.6893071488647573,0.74703125
8-3,8-1,0.9125060772498576,0.1090625
8-3,8-2,0.5632479327835487,0.87640625
8-3,8-3,0.6609503090236576,0.7859375
8-3,8-4,0.7485797394349978,0.63984375
8-3,8-5,0.6937211112092057,0.73984375
8-3,8-6,0.9229686009577664,0.07765625
8-3,8-7,0.9225796670423223,0.07890625
8-3,8-8,0.8817699134424666,0.225
8-4,8-1,0.671802344623146,0.77109375
8-4,8-2,0.3466533940656692,0.986875
8-4,8-3,0.5462265252767293,0.893125
8-4,8-4,0.8841894701603845,0.21484375
8-4,8-5,0.8896345413031241,0.19375
8-4,8-6,0.7670328643255842,0.5971875
8-4,8-7,0.6806467802560499,0.759375
8-4,8-8,0.6868289098791851,0.75078125
8-5,8-1,0.8546694755974598,0.32890625
8-5,8-2,0.6949056625331204,0.7378125
8-5,8-3,0.7166363240329339,0.70234375
8-5,8-4,0.6097721861497933,0.83828125
8-5,8-5,0.5672840934576309,0.8734375
8-5,8-6,0.871559363905453,0.26109375
8-5,8-7,0.854731063831065,0.32875
8-5,8-8,0.8104429987476781,0.46953125
8-6,8-1,0.6131519628917592,0.8359375
8-6,8-2,0.1305046459858304,1
8-6,8-3,0.30674290166048856,0.99375
8-6,8-4,0.9461961870597314,0.0240625
8-6,8-5,0.9960460399999553,0
8-6,8-6,0.7963078114914303,0.51
8-6,8-7,0.5949837790726888,0.85125
8-6,8-8,0.5819459437527854,0.86234375
8-7,8-1,0.74606358948126,0.64453125
8-7,8-2,0.7531043356267262,0.63203125
8-7,8-3,0.9024925563592111,0.1425
8-7,8-4,0.599403420512841,0.84796875
8-7,8-5,0.5427378715929285,0.89609375
8-7,8-6,0.6723378213608835,0.770625
8-7,8-7,0.7836820785570926,0.5490625
8-7,8-8,0.8227316492933656,0.43484375
8-8,8-1,0.7423701058566513,0.65375
8-8,8-2,0.7974956670120755,0.5084375
8-8,8-3,0.7362888286566598,0.6640625
8-8,8-4,0.5345085158335728,0.90140625
8-8,8-5,0.47374722146882114,0.940625
8-8,8-6,0.7188270260272618,0.70015625
8-8,8-7,0.8530492196300921,0.33546875
8-8,8-8,0.6964816377017404,0.735625
