img1_cluster_id,img2_cluster_id,similarity,pval
7-1,7-1,0.5266625831451848,0.8224489795918367
7-1,7-2,0.6003508056496177,0.6918367346938775
7-1,7-3,0.7317263732560075,0.38571428571428573
7-1,7-4,0.8461246420747801,0.044081632653061226
7-1,7-5,0.45125375798473677,0.9
7-1,7-6,0.7074395021516406,0.43448979591836734
7-1,7-7,0.8712776308487252,0.006122448979591836
7-2,7-1,0.8493133880308192,0.03612244897959184
7-2,7-2,0.2826000905336402,0.9995918367346939
7-2,7-3,0.7539064820071464,0.32653061224489793
7-2,7-4,0.4368214200716807,0.9151020408163265
7-2,7-5,0.8095613827108967,0.15775510204081633
7-2,7-6,0.4980602607718946,0.8495918367346939
7-2,7-7,0.265671346353859,0.9997959183673469
7-3,7-1,0.49060298673665814,0.8573469387755102
7-3,7-2,0.4225057918121046,0.9314285714285714
7-3,7-3,0.7499059387276724,0.33755102040816326
7-3,7-4,0.7465594258746806,0.34775510204081633
7-3,7-5,0.6163335797150189,0.6502040816326531
7-3,7-6,0.5599226719842643,0.7830612244897959
7-3,7-7,0.6359080529001,0.6022448979591837
7-4,7-1,0.5041879460752571,0.8444897959183674
7-4,7-2,0.7003733890270702,0.45102040816326533
7-4,7-3,0.7240205973902281,0.40469387755102043
7-4,7-4,0.8641366742979337,0.012653061224489797
7-4,7-5,0.46950875696576966,0.8816326530612245
7-4,7-6,0.7721935466071208,0.2789795918367347
7-4,7-7,0.7607524490031058,0.30795918367346936
7-5,7-1,0.11509717479536641,1
7-5,7-2,0.6876044704719138,0.48020408163265305
7-5,7-3,0.38300193166985863,0.9697959183673469
7-5,7-4,0.7539236618158041,0.32653061224489793
7-5,7-5,0.1771050174655385,1
7-5,7-6,0.6100416272459354,0.6661224489795918
7-5,7-7,0.8187842192967048,0.1279591836734694
7-6,7-1,0.4451600923472652,0.906530612244898
7-6,7-2,0.45576747764738745,0.896734693877551
7-6,7-3,0.7245188429399495,0.4042857142857143
7-6,7-4,0.7531153610031425,0.3293877551020408
7-6,7-5,0.5505667725698558,0.7977551020408163
7-6,7-6,0.5856341707356358,0.7328571428571429
7-6,7-7,0.6786769623358118,0.5004081632653061
7-7,7-1,0.4859429154519907,0.8610204081632653
7-7,7-2,0.33079134847283476,0.9938775510204082
7-7,7-3,0.766058910185182,0.29346938775510206
7-7,7-4,0.7050545426568792,0.43979591836734694
7-7,7-5,0.6558226669367262,0.5546938775510204
7-7,7-6,0.5091152091816895,0.8389795918367347
7-7,7-7,0.6094383851767629,0.6677551020408163
