img1_cluster_id,img2_cluster_id,similarity,pval
7-1,7-1,0.7498434562147689,0.583469387755102
7-1,7-2,0.8885012612619236,0.19020408163265307
7-1,7-3,0.7264465697618528,0.6342857142857142
7-1,7-4,0.48611031390257975,0.9328571428571428
7-1,7-5,0.6972382898427378,0.6930612244897959
7-1,7-6,0.7956245654690832,0.47877551020408166
7-1,7-7,0.8293460359004384,0.386530612244898
7-2,7-1,0.4958779629731006,0.9253061224489796
7-2,7-2,0.5090042810437287,0.9181632653061225
7-2,7-3,0.9148900036723371,0.08897959183673469
7-2,7-4,0.9973409999732583,0
7-2,7-5,0.7721935887302742,0.536530612244898
7-2,7-6,0.13044891716987464,1
7-2,7-7,0.34191007984927546,0.9857142857142858
7-3,7-1,0.8911352975839428,0.18142857142857144
7-3,7-2,0.8747299404838624,0.23918367346938776
7-3,7-3,0.74184542616646,0.6008163265306122
7-3,7-4,0.6580340796330162,0.7608163265306123
7-3,7-5,0.9398064212040282,0.02387755102040816
7-3,7-6,0.5914692807461708,0.8516326530612245
7-3,7-7,0.7167741807818211,0.6540816326530612
7-4,7-1,0.8334161211194406,0.3753061224489796
7-4,7-2,0.8431234933412075,0.3491836734693878
7-4,7-3,0.5687231008319822,0.8736734693877551
7-4,7-4,0.4672037054469706,0.9422448979591836
7-4,7-5,0.6874008928291128,0.7110204081632653
7-4,7-6,0.77037292642013,0.5391836734693878
7-4,7-7,0.9438307055623175,0.017755102040816328
7-5,7-1,0.7727092200736365,0.5361224489795918
7-5,7-2,0.7313714324832281,0.6234693877551021
7-5,7-3,0.19127437755897303,1
7-5,7-4,0.06794253520353799,1
7-5,7-5,0.46328356635247087,0.9438775510204082
7-5,7-6,0.9385519797422599,0.025510204081632654
7-5,7-7,0.8464968205462744,0.3377551020408163
7-6,7-1,0.894515514685261,0.1710204081632653
7-6,7-2,0.8150663320173872,0.4269387755102041
7-6,7-3,0.6935495190195067,0.6989795918367347
7-6,7-4,0.6120687468088779,0.826734693877551
7-6,7-5,0.9181023957494174,0.0773469387755102
7-6,7-6,0.649141603916886,0.7746938775510204
7-6,7-7,0.752159957337495,0.5797959183673469
7-7,7-1,0.7343057146678256,0.6161224489795918
7-7,7-2,0.8335812879557187,0.37510204081632653
7-7,7-3,0.7152491144989928,0.6573469387755102
7-7,7-4,0.6284484189494774,0.8040816326530612
7-7,7-5,0.8011196753640314,0.4636734693877551
7-7,7-6,0.5879427093102096,0.8561224489795919
7-7,7-7,0.6364968929572694,0.7930612244897959
