img1_cluster_id,img2_cluster_id,similarity,pval
7-1,7-1,0.3989369296005765,0.9863265306122448
7-1,7-2,0.6632263292572638,0.4357142857142857
7-1,7-3,0.6661586764712798,0.4283673469387755
7-1,7-4,0.8415824545889596,0.044081632653061226
7-1,7-5,0.48593448607163325,0.89
7-1,7-6,0.6726444427015001,0.41061224489795917
7-1,7-7,0.7269900325804033,0.30428571428571427
7-2,7-1,0.5433284841345403,0.8
7-2,7-2,0.4981690726226483,0.8720408163265306
7-2,7-3,0.7319730701989524,0.2953061224489796
7-2,7-4,0.8835858226055477,0.005306122448979592
7-2,7-5,0.4679226038744819,0.9226530612244898
7-2,7-6,0.6999120933026941,0.34938775510204084
7-2,7-7,0.8676680683946092,0.013877551020408163
7-3,7-1,0.8455415044814876,0.03857142857142857
7-3,7-2,0.30664169076289355,0.9985714285714286
7-3,7-3,0.8375356686823989,0.05020408163265306
7-3,7-4,0.5741341298191309,0.7428571428571429
7-3,7-5,0.7242288859701731,0.30795918367346936
7-3,7-6,0.49529722957583777,0.8759183673469387
7-3,7-7,0.42244885235864693,0.973265306122449
7-4,7-1,0.8368153528284141,0.05183673469387755
7-4,7-2,0.2901365784268297,0.9987755102040816
7-4,7-3,0.7430111987618209,0.2753061224489796
7-4,7-4,0.417827686758783,0.9744897959183674
7-4,7-5,0.8155969272468592,0.09714285714285714
7-4,7-6,0.491175348888386,0.8820408163265306
7-4,7-7,0.25725257340943075,0.9997959183673469
7-5,7-1,0.5752717272145647,0.74
7-5,7-2,0.5066863935963674,0.8620408163265306
7-5,7-3,0.7770532351495143,0.20224489795918368
7-5,7-4,0.7010095659581457,0.3479591836734694
7-5,7-5,0.700354511091348,0.3489795918367347
7-5,7-6,0.6069411133035287,0.6379591836734694
7-5,7-7,0.5668640421075192,0.7608163265306123
7-6,7-1,0.1387666553395237,1
7-6,7-2,0.6167041059552907,0.6028571428571429
7-6,7-3,0.4090231697404644,0.9810204081632653
7-6,7-4,0.7034366676469155,0.3426530612244898
7-6,7-5,0.2174444616470183,1
7-6,7-6,0.5553550529549058,0.7822448979591837
7-6,7-7,0.8877214416091622,0.0032653061224489797
7-7,7-1,0.3130527573463268,0.9983673469387755
7-7,7-2,0.6988812416518984,0.3510204081632653
7-7,7-3,0.6431398373089123,0.5002040816326531
7-7,7-4,0.8613326312086486,0.017959183673469388
7-7,7-5,0.3673334761591659,0.9924489795918368
7-7,7-6,0.6908545482476638,0.36551020408163265
7-7,7-7,0.7714678962965387,0.21387755102040817
